original_url,replication_url,description,result,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_authors,replication_title,replication_journal,replication_volume,replication_issue,replication_pages,replication_year,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails,discipline,tags,validated,validated_person,openalex_field,openalex_subfield,replication_citation_html,original_citation_html,Unnamed: 0,original_es_r,replication_es_r
http://doi.org/10.1037/mot0000097,http://doi.org/10.1002/ejsp.2748,We investigated the hypothesis that group members would reject outgroup criticism (as compared to the same criticism from the ingroup) using costly punishment,success,J. Lukas Thürmer; Sean M. McCrea,Beyond motivated reasoning: Hostile reactions to critical comments from the outgroup.,Motivation Science,4.0,4,333,2018.0,J. Lukas Thürmer; Sean M. Mccrea,Disentangling the intergroup sensitivity effect: Defending the ingroup or enforcing general norms?,European Journal of Social Psychology,51.0,7,1061,2021.0,135.0,,d,,,,,740.0,,r,,,,,,"intergroup sensitivity effect, intergroup criticism, behavior, costly punishment,",yes,forrt.org team: LK,Social Sciences,Education,"<a href=""https://doi.org/10.1002/ejsp.2748"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Thürmer J. <i>et al.</i> <i>European Journal of Social Psychology</i> 2021</a>","<a href=""https://doi.org/10.1037/mot0000097"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Thürmer J. <i>et al.</i> <i>Motivation Science</i> 2018</a>",0.0,0.1747682,0.117
http://doi.org/10.1177/0956797610384746,http://doi.org/10.1007/s00426-019-01203-4,"Freezing is an adaptive defensive response to a stressful event. It is characterized by reduced body motion, reduced heart rate (bradycardia), and increased muscle tonus. Social threats in the context of these studies are stimuli of angry faces. ",success,Karin Roelofs; Muriel A. Hagenaars; John Stins,Facing Freeze,Psychological Science,21.0,11,1575,2010.0,Marret K. Noordewier; Daan Scheepers; Leon P. Hilbert,Freezing in response to social threat: a replication,Psychological Research,84.0,7,1890,2019.0,47.0,,etasq,,,,,54.0,,etasq,,,,,marketing,Freezing response to social threat,yes,forrt.org team: LK,Psychology,Applied Psychology,"<a href=""https://doi.org/10.1007/s00426-019-01203-4"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Noordewier M. <i>et al.</i> <i>Psychological Research</i> 2019</a>","<a href=""https://doi.org/10.1177/0956797610384746"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Roelofs K. <i>et al.</i> <i>Psychological Science</i> 2010</a>",1.0,0.3162278,0.2828427
http://doi.org/10.1111/j.1468-0017.2010.01398.x,http://doi.org/10.1007/s13164-018-0400-9,,success,James R. Beebe; Wesley Buckwalter,The Epistemic Side-Effect Effect,Mind &amp; Language,25.0,4,474,2010.0,Florián Cova; Brent Strickland; Angela Abatista; Aurélien Allard; James Andow; Mario Attie; James R. Beebe; Renatas Berniûnas; Jordane Boudesseul; Matteo Colombo; Fiery Cushman; Rodrigo Díaz; Noah N. N. van Dongen; Vilius Dranseika; Brian D. Earp; Antonio Gaitán Torres; Ivar R. Hannikainen; José V. Hernández‐Conde; Wenjia Hu; François Jaquet; Kareem Khalifa; Hanna Kim; Markus Kneer; Joshua Knobe; Miklós Kürthy; Anthony Lantian; Shen‐Yi Liao; Édouard Machery; Tania Moerenhout; Christian Mott; Mark Phelan; Jonathan Phillips; Navin Rambharose; Kevin Reuter; Felipe Romero; Paulo Sousa; Jan Sprenger; Emile Thalabard; Kevin Tobia; Hugo Viciana; Daniel A. Wilkenfeld; Xiang Zhou,Estimating the Reproducibility of Experimental Philosophy,Review of Philosophy and Psychology,12.0,1,9,2018.0,749.0,,,,,,,514.0,,,,,,,experimental philosophy,experimental philosophy,yes,FReD_API_team,Arts and Humanities,Philosophy,"<a href=""https://doi.org/10.1007/s13164-018-0400-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cova F. <i>et al.</i> <i>Review of Philosophy and Psychology</i> 2018</a>","<a href=""https://doi.org/10.1111/j.1468-0017.2010.01398.x"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Beebe J. <i>et al.</i> <i>Mind &amp;amp; Language</i> 2010</a>",2.0,0.35,0.31
http://doi.org/10.1080/09515080307771,http://doi.org/10.1007/s13164-018-0400-9,"In the absence of skill, murder is judged intentional but achievement is not",success,Joshua Knobe,Intentional action in folk psychology: An experimental investigation,Philosophical Psychology,16.0,2,309,2003.0,Florián Cova; Brent Strickland; Angela Abatista; Aurélien Allard; James Andow; Mario Attie; James R. Beebe; Renatas Berniûnas; Jordane Boudesseul; Matteo Colombo; Fiery Cushman; Rodrigo Díaz; Noah N. N. van Dongen; Vilius Dranseika; Brian D. Earp; Antonio Gaitán Torres; Ivar R. Hannikainen; José V. Hernández‐Conde; Wenjia Hu; François Jaquet; Kareem Khalifa; Hanna Kim; Markus Kneer; Joshua Knobe; Miklós Kürthy; Anthony Lantian; Shen‐Yi Liao; Édouard Machery; Tania Moerenhout; Christian Mott; Mark Phelan; Jonathan Phillips; Navin Rambharose; Kevin Reuter; Felipe Romero; Paulo Sousa; Jan Sprenger; Emile Thalabard; Kevin Tobia; Hugo Viciana; Daniel A. Wilkenfeld; Xiang Zhou,Estimating the Reproducibility of Experimental Philosophy,Review of Philosophy and Psychology,12.0,1,9,2018.0,37.0,,,,,,,145.0,,,,,,,experimental philosophy,experimental philosophy,yes,forrt.org team: LKasseckert,Neuroscience,Cognitive Neuroscience,"<a href=""https://doi.org/10.1007/s13164-018-0400-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cova F. <i>et al.</i> <i>Review of Philosophy and Psychology</i> 2018</a>","<a href=""https://doi.org/10.1080/09515080307771"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Knobe J. <i>et al.</i> <i>Philosophical Psychology</i> 2003</a>",3.0,0.46,0.6
http://doi.org/10.1111/1467-8284.00419,http://doi.org/10.1007/s13164-018-0400-9,Intentional Action and Side Effects in Ordinary Language,success,Joshua Knobe,Intentional action and side effects in ordinary language,Analysis,63.0,279,190,2003.0,Florián Cova; Brent Strickland; Angela Abatista; Aurélien Allard; James Andow; Mario Attie; James R. Beebe; Renatas Berniûnas; Jordane Boudesseul; Matteo Colombo; Fiery Cushman; Rodrigo Díaz; Noah N. N. van Dongen; Vilius Dranseika; Brian D. Earp; Antonio Gaitán Torres; Ivar R. Hannikainen; José V. Hernández‐Conde; Wenjia Hu; François Jaquet; Kareem Khalifa; Hanna Kim; Markus Kneer; Joshua Knobe; Miklós Kürthy; Anthony Lantian; Shen‐Yi Liao; Édouard Machery; Tania Moerenhout; Christian Mott; Mark Phelan; Jonathan Phillips; Navin Rambharose; Kevin Reuter; Felipe Romero; Paulo Sousa; Jan Sprenger; Emile Thalabard; Kevin Tobia; Hugo Viciana; Daniel A. Wilkenfeld; Xiang Zhou,Estimating the Reproducibility of Experimental Philosophy,Review of Philosophy and Psychology,12.0,1,9,2018.0,78.0,,,,,,,100.0,,,,,,,experimental philosophy,experimental philosophy,yes,forrt.org team: LKasseckert,Neuroscience,Cognitive Neuroscience,"<a href=""https://doi.org/10.1007/s13164-018-0400-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cova F. <i>et al.</i> <i>Review of Philosophy and Psychology</i> 2018</a>","<a href=""https://doi.org/10.1111/1467-8284.00419"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Knobe J. <i>et al.</i> <i>Analysis</i> 2003</a>",4.0,0.59,0.61
http://doi.org/10.1080/0951508042000202354,http://doi.org/10.1007/s13164-018-0400-9,participants who respond as nonobjectivists about canonical moral violations still treat such violations in typical ways,success,Shaun Nichols,After objectivity: an empirical study of moral judgment,Philosophical Psychology,17.0,1,3,2004.0,Florián Cova; Brent Strickland; Angela Abatista; Aurélien Allard; James Andow; Mario Attie; James R. Beebe; Renatas Berniûnas; Jordane Boudesseul; Matteo Colombo; Fiery Cushman; Rodrigo Díaz; Noah N. N. van Dongen; Vilius Dranseika; Brian D. Earp; Antonio Gaitán Torres; Ivar R. Hannikainen; José V. Hernández‐Conde; Wenjia Hu; François Jaquet; Kareem Khalifa; Hanna Kim; Markus Kneer; Joshua Knobe; Miklós Kürthy; Anthony Lantian; Shen‐Yi Liao; Édouard Machery; Tania Moerenhout; Christian Mott; Mark Phelan; Jonathan Phillips; Navin Rambharose; Kevin Reuter; Felipe Romero; Paulo Sousa; Jan Sprenger; Emile Thalabard; Kevin Tobia; Hugo Viciana; Daniel A. Wilkenfeld; Xiang Zhou,Estimating the Reproducibility of Experimental Philosophy,Review of Philosophy and Psychology,12.0,1,9,2018.0,10.0,,,,,,,9.0,,,,,,,experimental philosophy,experimental philosophy,yes,forrt.org team: LKasseckert,Neuroscience,Cognitive Neuroscience,"<a href=""https://doi.org/10.1007/s13164-018-0400-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cova F. <i>et al.</i> <i>Review of Philosophy and Psychology</i> 2018</a>","<a href=""https://doi.org/10.1080/0951508042000202354"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Nichols S. <i>et al.</i> <i>Philosophical Psychology</i> 2004</a>",5.0,0.83,0.77
http://doi.org/10.1016/j.cognition.2003.10.003,http://doi.org/10.1007/s13164-018-0400-9,Westerners are more likely than East Asians to report intuitions that are consistent with the causal-historical view,inconclusive,Édouard Machery,"Semantics, cross-cultural style",Cognition,92.0,3,B1,2003.0,Florián Cova; Brent Strickland; Angela Abatista; Aurélien Allard; James Andow; Mario Attie; James R. Beebe; Renatas Berniûnas; Jordane Boudesseul; Matteo Colombo; Fiery Cushman; Rodrigo Díaz; Noah N. N. van Dongen; Vilius Dranseika; Brian D. Earp; Antonio Gaitán Torres; Ivar R. Hannikainen; José V. Hernández‐Conde; Wenjia Hu; François Jaquet; Kareem Khalifa; Hanna Kim; Markus Kneer; Joshua Knobe; Miklós Kürthy; Anthony Lantian; Shen‐Yi Liao; Édouard Machery; Tania Moerenhout; Christian Mott; Mark Phelan; Jonathan Phillips; Navin Rambharose; Kevin Reuter; Felipe Romero; Paulo Sousa; Jan Sprenger; Emile Thalabard; Kevin Tobia; Hugo Viciana; Daniel A. Wilkenfeld; Xiang Zhou,Estimating the Reproducibility of Experimental Philosophy,Review of Philosophy and Psychology,12.0,1,9,2018.0,72.0,,,,,,,181.0,,,,,,,experimental philosophy,experimental philosophy,yes,forrt.org team: LKasseckert,Psychology,Social Psychology,"<a href=""https://doi.org/10.1007/s13164-018-0400-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cova F. <i>et al.</i> <i>Review of Philosophy and Psychology</i> 2018</a>","<a href=""https://doi.org/10.1016/j.cognition.2003.10.003"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Machery É. <i>et al.</i> <i>Cognition</i> 2003</a>",6.0,0.29,0.0
http://doi.org/10.1080/13506280544000110,http://doi.org/10.1016/j.actpsy.2020.103138,The magnitude of the age of acquisition effect I(i.e. early-acquired words are named more quickly than later-acquired words) in lexical retrieval is larger in picture naming than visual word naming.,failure,Matthew A. Lambon Ralph; Sheeba Ehsan,Age of acquisition effects depend on the mapping between representations and the frequency of occurrence: Empirical and computational evidence,Visual Cognition,13.0,7-8,928,2006.0,Jonathan Catling; Mahmoud Medhat Elsherif,The hunt for the age of acquisition effect: It's in the links!,Acta Psychologica,209.0,,103138,2020.0,44.0,,etasq,,,,,96.0,,d,,,,,developmental psychology,"Age of acquisition, Picture naming, word naming, Direct replication, lexical retrieval,Age acquisition effect",yes,forrt.org team: LK,Psychology,Developmental and Educational Psychology,"<a href=""https://doi.org/10.1016/j.actpsy.2020.103138"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Catling J. <i>et al.</i> <i>Acta Psychologica</i> 2020</a>","<a href=""https://doi.org/10.1080/13506280544000110"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Ralph M. <i>et al.</i> <i>Visual Cognition</i> 2006</a>",7.0,0.8944,-0.3219
http://doi.org/10.1086/691462,http://doi.org/10.1016/j.actpsy.2022.103717,"The mere presence of one's own smartphone may occupy limited-capacity cognitive resources, thereby leaving fewer resources available for other tasks and undercutting cognitive performance.",inconclusive,Adrian F. Ward; Kristen Duke; Ayelet Gneezy; Maarten W. Bos,Brain Drain: The Mere Presence of One’s Own Smartphone Reduces Available Cognitive Capacity,Journal of the Association for Consumer Research,2.0,2,140,2017.0,Ana C. Ruiz Pardo; John Paul Minda,Reexamining the “brain drain” effect: A replication of Ward et al. (2017),Acta Psychologica,230.0,,103717,2022.0,275.0,,etasq,,,,,383.0,,etasq,,,,,marketing,,yes,forrt.org team: LK,Psychology,Applied Psychology,"<a href=""https://doi.org/10.1016/j.actpsy.2022.103717"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Pardo A. <i>et al.</i> <i>Acta Psychologica</i> 2022</a>","<a href=""https://doi.org/10.1086/691462"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Ward A. <i>et al.</i> <i>Journal of the Association for Consumer Research</i> 2017</a>",8.0,0.1612452,0.03162278
http://doi.org/10.1016/j.cognition.2014.09.006,http://doi.org/10.1016/j.cognition.2014.09.006,drunk utilitarian,success,Aaron A. Duke; Laurent Bègue,The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas,Cognition,134.0,,121,2014.0,Aaron A. Duke; Laurent Bègue,The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas,Cognition,134.0,,121,2014.0,60.0,,r,,,,,42.0,,r,,,,,experimental philosophy,"utilitarianism, alcohol, CNI Model, trolley dilemma, moral judgmenet,drunk utilitarian",yes,forrt.org team: LK,Neuroscience,Cognitive Neuroscience,"<a href=""https://doi.org/10.1016/j.cognition.2014.09.006"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Duke A. <i>et al.</i> <i>Cognition</i> 2014</a>","<a href=""https://doi.org/10.1016/j.cognition.2014.09.006"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Duke A. <i>et al.</i> <i>Cognition</i> 2014</a>",9.0,0.29,0.32
